,ssps_filled,lulucf_source
DZA,,FAO2019BI
ECU,,FAO2019BI
EGY,,FAO2019BI
ERI,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
ESP,,CRF2019
EST,,CRF2019
ETH,,UNFCCC2019BI
FIN,,CRF2019
FJI,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
FRA,,CRF2019
FSM,"SSP1BLIMAGE for CO2 filled with mean over available SSPs ().
SSP1BLIMAGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CO2 filled with mean over available SSPs ().
SSP2BLMESGB for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CO2 filled with mean over available SSPs ().
SSP3BLAIMCGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CO2 filled with mean over available SSPs ().
SSP4BLGCAM4 for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CO2 filled with mean over available SSPs ().
SSP5BLREMMP for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for CH4 filled with mean over available SSPs ().
SSP1BLIMAGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CH4 filled with mean over available SSPs ().
SSP2BLMESGB for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CH4 filled with mean over available SSPs ().
SSP3BLAIMCGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CH4 filled with mean over available SSPs ().
SSP4BLGCAM4 for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CH4 filled with mean over available SSPs ().
SSP5BLREMMP for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for N2O filled with mean over available SSPs ().
SSP1BLIMAGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for N2O filled with mean over available SSPs ().
SSP2BLMESGB for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for N2O filled with mean over available SSPs ().
SSP3BLAIMCGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for N2O filled with mean over available SSPs ().
SSP4BLGCAM4 for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for N2O filled with mean over available SSPs ().
SSP5BLREMMP for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for KYOTOGHG filled with mean over available SSPs ().
SSP1BLIMAGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs ().
SSP2BLMESGB for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for KYOTOGHG filled with mean over available SSPs ().
SSP3BLAIMCGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for KYOTOGHG filled with mean over available SSPs ().
SSP4BLGCAM4 for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for KYOTOGHG filled with mean over available SSPs ().
SSP5BLREMMP for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for POP filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4).
SSP5BLREMMP for POP filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4).
SSP1BLIMAGE for GDPPPP filled with mean over available SSPs ().
SSP1BLIMAGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs ().
SSP2BLMESGB for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for GDPPPP filled with mean over available SSPs ().
SSP3BLAIMCGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for GDPPPP filled with mean over available SSPs ().
SSP4BLGCAM4 for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for GDPPPP filled with mean over available SSPs ().
SSP5BLREMMP for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
GAB,,FAO2019BI
GBR,,CRF2019
GEO,,UNFCCC2019BI
GHA,,UNFCCC2019BI
GIN,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
GMB,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
GNB,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
GNQ,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
GRC,,CRF2019
GRD,"SSP2BLMESGB for CO2 filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4, SSP5BLREMMP).
SSP2BLMESGB for CH4 filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4, SSP5BLREMMP).
SSP2BLMESGB for N2O filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4, SSP5BLREMMP).
SSP2BLMESGB for FGASES filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4, SSP5BLREMMP).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4, SSP5BLREMMP).
SSP2BLMESGB for POP filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4, SSP5BLREMMP).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs (SSP1BLIMAGE, SSP3BLAIMCGE, SSP4BLGCAM4, SSP5BLREMMP).
",FAO2019BI
GTM,,UNFCCC2019BI
GUY,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",UNFCCC2019BI
HKG,,FAO2019BI
HND,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
HRV,,CRF2019
HTI,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
HUN,,CRF2019
IDN,,UNFCCC2019BI
IND,,UNFCCC2019BI
IOT,"SSP1BLIMAGE for CO2 filled with mean over available SSPs ().
SSP1BLIMAGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CO2 filled with mean over available SSPs ().
SSP2BLMESGB for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CO2 filled with mean over available SSPs ().
SSP3BLAIMCGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CO2 filled with mean over available SSPs ().
SSP4BLGCAM4 for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CO2 filled with mean over available SSPs ().
SSP5BLREMMP for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for CH4 filled with mean over available SSPs ().
SSP1BLIMAGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CH4 filled with mean over available SSPs ().
SSP2BLMESGB for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CH4 filled with mean over available SSPs ().
SSP3BLAIMCGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CH4 filled with mean over available SSPs ().
SSP4BLGCAM4 for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CH4 filled with mean over available SSPs ().
SSP5BLREMMP for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for N2O filled with mean over available SSPs ().
SSP1BLIMAGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for N2O filled with mean over available SSPs ().
SSP2BLMESGB for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for N2O filled with mean over available SSPs ().
SSP3BLAIMCGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for N2O filled with mean over available SSPs ().
SSP4BLGCAM4 for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for N2O filled with mean over available SSPs ().
SSP5BLREMMP for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for KYOTOGHG filled with mean over available SSPs ().
SSP1BLIMAGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs ().
SSP2BLMESGB for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for KYOTOGHG filled with mean over available SSPs ().
SSP3BLAIMCGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for KYOTOGHG filled with mean over available SSPs ().
SSP4BLGCAM4 for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for KYOTOGHG filled with mean over available SSPs ().
SSP5BLREMMP for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for POP filled with mean over available SSPs ().
SSP1BLIMAGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for POP filled with mean over available SSPs ().
SSP2BLMESGB for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for POP filled with mean over available SSPs ().
SSP3BLAIMCGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for POP filled with mean over available SSPs ().
SSP4BLGCAM4 for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for POP filled with mean over available SSPs ().
SSP5BLREMMP for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for GDPPPP filled with mean over available SSPs ().
SSP1BLIMAGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs ().
SSP2BLMESGB for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for GDPPPP filled with mean over available SSPs ().
SSP3BLAIMCGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for GDPPPP filled with mean over available SSPs ().
SSP4BLGCAM4 for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for GDPPPP filled with mean over available SSPs ().
SSP5BLREMMP for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",
IRL,,CRF2019
IRN,,FAO2019BI
IRQ,,FAO2019BI
ISL,,CRF2019
ISR,,UNFCCC2019BI
ITA,,CRF2019
JAM,,FAO2019BI
JOR,,UNFCCC2019BI
JPN,,CRF2019
KAZ,,CRF2019
KEN,,UNFCCC2019BI
KGZ,,UNFCCC2019BI
KHM,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
KIR,"SSP1BLIMAGE for CO2 filled with mean over available SSPs ().
SSP1BLIMAGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CO2 filled with mean over available SSPs ().
SSP2BLMESGB for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CO2 filled with mean over available SSPs ().
SSP3BLAIMCGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CO2 filled with mean over available SSPs ().
SSP4BLGCAM4 for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CO2 filled with mean over available SSPs ().
SSP5BLREMMP for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for CH4 filled with mean over available SSPs ().
SSP1BLIMAGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CH4 filled with mean over available SSPs ().
SSP2BLMESGB for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CH4 filled with mean over available SSPs ().
SSP3BLAIMCGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CH4 filled with mean over available SSPs ().
SSP4BLGCAM4 for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CH4 filled with mean over available SSPs ().
SSP5BLREMMP for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for N2O filled with mean over available SSPs ().
SSP1BLIMAGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for N2O filled with mean over available SSPs ().
SSP2BLMESGB for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for N2O filled with mean over available SSPs ().
SSP3BLAIMCGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for N2O filled with mean over available SSPs ().
SSP4BLGCAM4 for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for N2O filled with mean over available SSPs ().
SSP5BLREMMP for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for KYOTOGHG filled with mean over available SSPs ().
SSP1BLIMAGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs ().
SSP2BLMESGB for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for KYOTOGHG filled with mean over available SSPs ().
SSP3BLAIMCGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for KYOTOGHG filled with mean over available SSPs ().
SSP4BLGCAM4 for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for KYOTOGHG filled with mean over available SSPs ().
SSP5BLREMMP for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for POP filled with mean over available SSPs ().
SSP1BLIMAGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for POP filled with mean over available SSPs ().
SSP2BLMESGB for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for POP filled with mean over available SSPs ().
SSP3BLAIMCGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for POP filled with mean over available SSPs ().
SSP4BLGCAM4 for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for POP filled with mean over available SSPs ().
SSP5BLREMMP for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for GDPPPP filled with mean over available SSPs ().
SSP1BLIMAGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs ().
SSP2BLMESGB for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for GDPPPP filled with mean over available SSPs ().
SSP3BLAIMCGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for GDPPPP filled with mean over available SSPs ().
SSP4BLGCAM4 for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for GDPPPP filled with mean over available SSPs ().
SSP5BLREMMP for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
