,NDC,coverage,all_gases_covered,all_sectors_covered,everything_covered,nothing_covered,pccov_fut_SSP1,pccov_fut_method_SSP1,pccov_fut_SSP2,pccov_fut_method_SSP2,pccov_fut_SSP3,pccov_fut_method_SSP3,pccov_fut_SSP4,pccov_fut_method_SSP4,pccov_fut_SSP5,pccov_fut_method_SSP5
ATA,NO,,NO,NO,NO,YES,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%
ATG,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
AUS,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
AUT,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
AZE,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
BDI,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
BEL,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
BEN,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
BES,NO,,NO,NO,NO,YES,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%
BFA,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
BGD,YES,IPPU set to covered (as some F-gas is covered). ,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
BGR,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
BHR,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
BHS,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
BIH,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
BLR,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
BLZ,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.92) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.92) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.92) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.92) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.92) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
BOL,YES,,NO,NO,NO,NO,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
BRA,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
BRB,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
BRN,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
BTN,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
BVT,NO,,NO,NO,NO,YES,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%
BWA,YES,,NO,NO,NO,NO,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
CAF,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
CAN,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
CHE,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
CHL,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
CHN,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
CIV,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
CMR,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
COD,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.95) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.95) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.95) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.95) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.95) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
COG,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
COK,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
COL,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
COM,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
CPV,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation
CRI,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
