r,g,b
0.97147,0.81312,0.22766
0.96978,0.82083,0.23869
0.96804,0.82852,0.24997
0.96624,0.83619,0.26153
0.96439,0.84385,0.27339
0.96252,0.85148,0.28555
0.96063,0.85907,0.29801
0.95872,0.86662,0.31082
0.95683,0.87413,0.32397
0.955,0.88157,0.33748
0.95322,0.88894,0.35137
0.95155,0.89623,0.36563
0.95002,0.90341,0.38027
0.94868,0.91047,0.39529
0.94759,0.9174,0.41067
0.94681,0.92417,0.42637
0.94639,0.93076,0.44237
0.9464,0.93716,0.45859
0.9469,0.94335,0.47497
0.94794,0.94932,0.49143
0.94954,0.95506,0.50786
0.95174,0.96059,0.5242
0.95453,0.9659,0.54036
0.9579,0.971,0.55628
0.96181,0.97592,0.57193
0.96625,0.98068,0.58721
0.97116,0.98528,0.60215
0.97651,0.98975,0.61676
0.98226,0.99411,0.63102
0.98836,0.99836,0.64492
