r,g,b
0.70618,0.17844,0.55366
0.71055,0.18287,0.55
0.71488,0.1873,0.54634
0.71918,0.19173,0.54266
0.72344,0.19616,0.53898
0.72767,0.20059,0.53529
0.73186,0.20501,0.5316
0.73602,0.20944,0.52791
0.74014,0.21386,0.52422
0.74423,0.21829,0.52052
0.74829,0.22271,0.51683
0.75231,0.22713,0.51315
0.7563,0.23155,0.50947
0.76026,0.23598,0.50579
0.76419,0.2404,0.50213
0.76809,0.24482,0.49847
0.77196,0.24924,0.49481
0.7758,0.25366,0.49117
0.7796,0.25808,0.48754
0.78338,0.2625,0.48392
0.78713,0.26692,0.48031
0.79086,0.27135,0.47671
0.79455,0.27577,0.47312
0.79822,0.2802,0.46954
0.80185,0.28463,0.46597
0.80547,0.28906,0.46241
0.80905,0.29349,0.45887
0.81261,0.29793,0.45534
0.81614,0.30237,0.45182
0.81965,0.30681,0.44831
0.82313,0.31126,0.44481
0.82659,0.31571,0.44132
0.83002,0.32017,0.43784
0.83342,0.32464,0.43437
0.8368,0.3291,0.43091
0.84016,0.33358,0.42745
0.84348,0.33806,0.42401
0.84679,0.34255,0.42058
0.85007,0.34705,0.41715
0.85332,0.35155,0.41373
0.85655,0.35607,0.41032
0.85975,0.36059,0.40692
0.86293,0.36512,0.40352
0.86608,0.36966,0.40013
0.8692,0.37421,0.39674
0.8723,0.37877,0.39335
0.87538,0.38335,0.38998
0.87842,0.38793,0.3866
0.88144,0.39253,0.38323
0.88444,0.39714,0.37986
0.8874,0.40176,0.37649
0.89034,0.4064,0.37313
0.89325,0.41105,0.36977
0.89613,0.41571,0.36641
0.89898,0.42039,0.36305
0.90181,0.42509,0.35969
0.9046,0.4298,0.35633
0.90736,0.43452,0.35297
0.9101,0.43927,0.34961
0.9128,0.44403,0.34625
0.91547,0.44881,0.34289
0.91811,0.4536,0.33953
0.92071,0.45842,0.33617
0.92329,0.46325,0.3328
0.92583,0.4681,0.32943
0.92833,0.47298,0.32607
0.9308,0.47787,0.3227
0.93323,0.48278,0.31933
0.93563,0.48771,0.31595
0.93799,0.49267,0.31258
0.94031,0.49764,0.3092
0.9426,0.50264,0.30582
0.94484,0.50766,0.30243
0.94705,0.5127,0.29905
0.94922,0.51776,0.29566
0.95134,0.52285,0.29227
0.95343,0.52796,0.28888
0.95547,0.53309,0.28549
0.95747,0.53825,0.2821
0.95942,0.54343,0.2787
0.96134,0.54864,0.27531
0.9632,0.55386,0.27191
0.96502,0.55912,0.26851
0.9668,0.5644,0.26512
0.96853,0.5697,0.26172
0.9702,0.57503,0.25833
0.97184,0.58038,0.25493
0.97342,0.58576,0.25154
0.97495,0.59117,0.24815
0.97643,0.5966,0.24477
0.97786,0.60205,0.24139
0.97923,0.60753,0.23801
0.98056,0.61304,0.23465
0.98183,0.61857,0.23129
0.98304,0.62413,0.22794
0.9842,0.62972,0.2246
0.9853,0.63533,0.22126
0.98635,0.64097,0.21795
0.98733,0.64663,0.21465
0.98826,0.65232,0.21136
0.98913,0.65804,0.2081
0.98994,0.66379,0.20486
0.99068,0.66956,0.20164
0.99136,0.67536,0.19845
0.99198,0.68118,0.19529
0.99254,0.68703,0.19217
0.99303,0.69291,0.18908
0.99346,0.69881,0.18604
0.99381,0.70474,0.18304
0.9941,0.7107,0.1801
0.99432,0.71668,0.17721
0.99447,0.72269,0.17438
0.99455,0.72873,0.17162
0.99456,0.73479,0.16894
0.99449,0.74088,0.16633
0.99436,0.747,0.16382
0.99414,0.75314,0.1614
0.99385,0.7593,0.15909
0.99348,0.7655,0.15689
0.99303,0.77172,0.15481
0.99251,0.77797,0.15285
0.9919,0.78424,0.15104
0.99121,0.79054,0.14938
0.99044,0.79686,0.14787
0.98959,0.80321,0.14653
0.98865,0.80958,0.14536
0.98762,0.81598,0.14436
0.98651,0.8224,0.14356
0.98531,0.82885,0.14295
0.98403,0.83532,0.14253
0.98265,0.84181,0.1423
0.98119,0.84833,0.14228
0.97964,0.85487,0.14245
0.97799,0.86143,0.14281
0.97626,0.86802,0.14335
0.97444,0.87462,0.14406
0.97253,0.88125,0.14492
0.97053,0.8879,0.14592
0.96844,0.89456,0.14701
0.96627,0.90125,0.14818
0.96402,0.90795,0.14937
0.96168,0.91467,0.15052
0.95928,0.92141,0.15157
0.95681,0.92815,0.15241
0.95429,0.93491,0.15292
0.95173,0.94167,0.15293
0.94915,0.94843,0.15218
0.9466,0.95519,0.15033
0.94415,0.96192,0.14686
0.9419,0.96859,0.14096
0.94002,0.97516,0.13133
